Świętej Gertrudy;5:53:29
Plac Wszystkich Świętych;5:54:56
Filharmonia;5:56:11
Teatr Bagatela;5:58:42
Batorego;6:0:48
Plac Inwalidów;6:1:57
Urzędnicza;6:3:55
;
05:42 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;5:42:1
Teatr Variete;5:43:25
Rondo Grzegórzeckie;5:45:12
Rondo Mogilskie;5:47:51
Lubicz;5:51:2
Dworzec Główny;5:53:21
Basztowa LOT;5:55:58
Teatr Bagatela;5:58:56
Batorego;6:1:33
Plac Inwalidów;6:2:43
Urzędnicza;6:4:36
;
05:46 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;5:46:1
Plac Inwalidów;5:47:54
Batorego;5:49:12
Teatr Bagatela;5:50:50
Basztowa LOT;5:53:40
Dworzec Główny;5:55:34
Lubicz;5:57:44
Rondo Mogilskie;6:0:43
Rondo Grzegórzeckie;6:4:17
Teatr Variete;6:5:5
Francesco Nullo;6:6:11
;
05:53 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:53:1
Teatr Variete;5:54:25
Rondo Grzegórzeckie;5:56:40
Hala Targowa;5:58:56
Starowiślna;6:0:3
Stradom;6:3:31
Orzeszkowej;6:5:5
Centrum Kongresowe ICE;6:7:4
;
05:50 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;5:50:1
Stradom;5:51:13
Wawel;5:55:19
Świętej Gertrudy;5:56:57
Plac Wszystkich Świętych;5:58:26
Filharmonia;5:59:40
Teatr Bagatela;6:2:1
Batorego;6:4:8
Plac Inwalidów;6:5:16
Urzędnicza;6:7:12
;
05:52 - 24 (Bronowice - Kurdwanów);
Urzędnicza;5:52:1
Plac Inwalidów;5:53:54
Batorego;5:55:12
Teatr Bagatela;5:56:49
Basztowa LOT;5:59:32
Dworzec Główny;6:1:28
Poczta Główna;6:4:0
Miodowa;6:7:19
;
05:55 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;5:55:1
Dworzec Główny;5:57:9
Basztowa LOT;6:0:4
Teatr Bagatela;6:2:27
Filharmonia;6:5:28
Jubilat;6:7:41
;
05:48 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:48:1
Orzeszkowej;5:49:56
Stradom;5:51:17
Wawel;5:53:7
Świętej Gertrudy;5:54:54
Plac Wszystkich Świętych;5:56:23
Filharmonia;5:57:37
Teatr Bagatela;6:0:4
Basztowa LOT;6:2:51
Pędzichów;6:4:45
Nowy Kleparz;6:6:27
Dworzec Towarowy;6:8:27
;
05:49 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;5:49:39
Nowy Kleparz;5:50:50
Pędzichów;5:52:32
Basztowa LOT;5:53:50
Teatr Bagatela;5:56:25
Filharmonia;5:58:52
Plac Wszystkich Świętych;6:0:35
Świętej Gertrudy;6:2:22
Wawel;6:4:1
Stradom;6:5:7
Orzeszkowej;6:6:41
Centrum Kongresowe ICE;6:8:41
;
05:50 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:50:1
Miodowa;5:51:6
Starowiślna;5:53:33
Hala Targowa;5:54:35
Rondo Grzegórzeckie;5:58:7
Rondo Mogilskie;6:1:35
Dworzec Główny Tunel;6:4:28
Politechnika;6:5:57
Dworzec Towarowy;6:8:48
;
05:51 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:51:1
Rondo Mogilskie;5:53:19
Lubicz;5:55:38
Dworzec Główny;5:59:7
Basztowa LOT;6:1:18
Teatr Bagatela;6:4:2
Batorego;6:6:52
Plac Inwalidów;6:8:0
Urzędnicza;6:9:58
;
05:59 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:59:1
Filharmonia;6:1:5
Teatr Bagatela;6:3:52
Basztowa LOT;6:6:21
Dworzec Główny;6:8:18
Lubicz;6:10:19
;
06:05 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;6:5:1
Rondo Mogilskie;6:8:46
;
05:53 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:53:1
Filharmonia;5:55:4
Plac Wszystkich Świętych;5:56:47
Poczta Główna;5:59:6
Starowiślna;6:4:33
Hala Targowa;6:5:34
Rondo Grzegórzeckie;6:9:28
Teatr Variete;6:10:16
Francesco Nullo;6:11:22
;
05:56 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:56:1
Teatr Variete;5:57:27
Rondo Grzegórzeckie;5:59:45
Hala Targowa;6:1:59
Starowiślna;6:3:3
Poczta Główna;6:6:2
Plac Wszystkich Świętych;6:8:37
Filharmonia;6:9:51
Jubilat;6:12:2
;
05:53 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;5:53:1
Stradom;5:54:13
Wawel;5:58:47
Poczta Główna;6:1:12
Dworzec Główny;6:3:29
Lubicz;6:5:38
Rondo Mogilskie;6:9:32
;
05:56 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;5:56:1
Plac Inwalidów;5:57:56
Batorego;5:59:15
Teatr Bagatela;6:0:51
Filharmonia;6:3:57
Plac Wszystkich Świętych;6:5:38
Świętej Gertrudy;6:7:10
Wawel;6:8:52
Plac Wolnica;6:12:12
;
05:55 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:55:1
Stradom;5:56:14
Wawel;6:0:10
Świętej Gertrudy;6:1:45
Plac Wszystkich Świętych;6:3:20
Filharmonia;6:4:33
Teatr Bagatela;6:6:59
Batorego;6:9:9
Plac Inwalidów;6:10:17
;
06:04 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;6:4:34
Rondo Mogilskie;6:8:19
Rondo Grzegórzeckie;6:13:14
;
05:51 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:51:1
Orzeszkowej;5:52:53
Stradom;5:53:56
Starowiślna;6:0:51
Poczta Główna;6:2:11
Dworzec Główny;6:4:54
Lubicz;6:6:53
Rondo Mogilskie;6:11:16
;
05:55 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:55:1
Rondo Mogilskie;5:57:22
Lubicz;5:59:41
Dworzec Główny;6:1:43
Poczta Główna;6:5:9
Stradom;6:10:12
Orzeszkowej;6:12:31
Centrum Kongresowe ICE;6:14:31
;
05:58 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:58:1
Miodowa;5:59:5
Starowiślna;6:3:26
Hala Targowa;6:4:27
Rondo Grzegórzeckie;6:7:56
Rondo Mogilskie;6:12:18
;
06:06 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;6:6:1
Politechnika;6:8:49
Dworzec Główny Zachód;6:10:5
Dworzec Główny;6:11:11
;
05:59 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:59:1
Plac Inwalidów;6:0:56
Batorego;6:2:14
Teatr Bagatela;6:4:9
Filharmonia;6:7:5
Plac Wszystkich Świętych;6:8:51
Świętej Gertrudy;6:10:23
Wawel;6:12:0
Stradom;6:13:9
;
05:58 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:58:1
Politechnika;6:1:34
Dworzec Główny Tunel;6:3:8
Rondo Mogilskie;6:6:40
Rondo Grzegórzeckie;6:10:44
Hala Targowa;6:13:1
Starowiślna;6:14:3
Miodowa;6:16:12
;
06:00 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;6:0:1
Orzeszkowej;6:1:52
Stradom;6:3:9
Starowiślna;6:8:23
Hala Targowa;6:9:26
Rondo Grzegórzeckie;6:14:22
Teatr Variete;6:15:11
;
05:55 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:55:1
Orzeszkowej;5:56:55
Stradom;5:58:13
Wawel;6:0:59
Świętej Gertrudy;6:3:18
Plac Wszystkich Świętych;6:4:44
Filharmonia;6:5:55
Teatr Bagatela;6:8:51
Basztowa LOT;6:11:17
Pędzichów;6:13:7
Nowy Kleparz;6:14:48
Dworzec Towarowy;6:16:51
;
06:01 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;6:1:1
Plac Inwalidów;6:2:57
Batorego;6:4:15
Teatr Bagatela;6:5:49
Basztowa LOT;6:8:20
Dworzec Główny;6:10:16
Lubicz;6:12:26
Rondo Mogilskie;6:15:34
Cystersów;6:18:6
;
06:03 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;6:3:1
Stradom;6:4:13
Wawel;6:6:23
Świętej Gertrudy;6:7:59
Plac Wszystkich Świętych;6:9:50
Filharmonia;6:11:3
Teatr Bagatela;6:13:30
Batorego;6:15:36
Plac Inwalidów;6:16:46
;
05:59 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:59:1
Orzeszkowej;6:0:55
Stradom;6:1:58
Starowiślna;6:6:13
Poczta Główna;6:7:55
Dworzec Główny;6:10:41
Lubicz;6:13:31
Rondo Mogilskie;6:16:48
;
05:59 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;5:59:1
Teatr Variete;6:0:27
Rondo Grzegórzeckie;6:2:12
Rondo Mogilskie;6:4:55
Lubicz;6:7:13
Dworzec Główny;6:9:27
Basztowa LOT;6:11:31
Teatr Bagatela;6:15:10
Batorego;6:17:31
Plac Inwalidów;6:18:38
Urzędnicza;6:20:33
;
06:06 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;6:6:1
Rondo Mogilskie;6:10:15
Rondo Grzegórzeckie;6:15:50
Hala Targowa;6:18:5
Starowiślna;6:19:8
Miodowa;6:21:17
;
06:06 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;6:6:1
Stradom;6:7:14
Wawel;6:9:27
Świętej Gertrudy;6:11:23
Plac Wszystkich Świętych;6:12:52
Filharmonia;6:14:6
Teatr Bagatela;6:16:39
Batorego;6:18:48
Plac Inwalidów;6:19:56
Urzędnicza;6:21:52
;
06:04 - 10 (Pleszów - Kurdwanów);
Cystersów;6:4:1
Rondo Mogilskie;6:6:18
Lubicz;6:8:37
Dworzec Główny;6:10:41
Poczta Główna;6:14:4
Świętej Gertrudy;6:16:54
Wawel;6:18:31
Stradom;6:19:38
Plac Wolnica;6:21:58
;
06:08 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;6:8:1
Teatr Variete;6:9:26
Rondo Grzegórzeckie;6:11:50
Hala Targowa;6:14:8
Starowiślna;6:15:17
Stradom;6:19:4
Orzeszkowej;6:20:38
Centrum Kongresowe ICE;6:22:40
;
06:07 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;6:7:1
Filharmonia;6:9:7
Plac Wszystkich Świętych;6:10:48
Poczta Główna;6:12:44
Starowiślna;6:16:18
Hala Targowa;6:17:20
Rondo Grzegórzeckie;6:20:47
Teatr Variete;6:21:35
;
06:03 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;6:3:1
Orzeszkowej;6:4:54
Stradom;6:5:55
Wawel;6:7:47
Świętej Gertrudy;6:9:47
Plac Wszystkich Świętych;6:11:25
Filharmonia;6:12:41
Teatr Bagatela;6:15:2
Basztowa LOT;6:17:31
Pędzichów;6:19:25
Nowy Kleparz;6:21:7
Dworzec Towarowy;6:23:7
;
06:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;6:6:1
Orzeszkowej;6:7:56
Stradom;6:9:0
Starowiślna;6:12:33
Poczta Główna;6:13:32
Dworzec Główny;6:16:2
Lubicz;6:18:4
Rondo Mogilskie;6:21:11
Cystersów;6:23:43
;
06:02 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;6:2:1
Plac Inwalidów;6:3:57
Batorego;6:5:14
Teatr Bagatela;6:7:23
Basztowa LOT;6:10:3
Dworzec Główny;6:12:15
Lubicz;6:14:52
Rondo Mogilskie;6:17:54
Rondo Grzegórzeckie;6:21:55
Teatr Variete;6:22:42
Francesco Nullo;6:23:48
;
06:07 - 24 (Bronowice - Kurdwanów);
Urzędnicza;6:7:13
Plac Inwalidów;6:9:9
Batorego;6:10:27
Teatr Bagatela;6:12:13
Basztowa LOT;6:14:34
Dworzec Główny;6:16:38
Poczta Główna;6:19:51
Starowiślna;6:22:18
;
06:04 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:4:1
Nowy Kleparz;6:5:10
Pędzichów;6:6:51
Basztowa LOT;6:8:11
Teatr Bagatela;6:11:5
Filharmonia;6:13:32
Plac Wszystkich Świętych;6:15:15
Świętej Gertrudy;6:17:48
Wawel;6:19:27
Stradom;6:21:5
Orzeszkowej;6:22:27
Centrum Kongresowe ICE;6:24:28
;
06:08 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:8:1
Plac Inwalidów;6:9:55
Batorego;6:11:13
Teatr Bagatela;6:13:36
Filharmonia;6:16:52
Plac Wszystkich Świętych;6:18:31
Świętej Gertrudy;6:20:3
Wawel;6:21:41
;
06:16 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;6:16:52
Politechnika;6:19:35
Dworzec Główny Zachód;6:20:51
Dworzec Główny;6:21:59
Poczta Główna;6:24:42
;
06:14 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;6:14:1
Filharmonia;6:16:4
Teatr Bagatela;6:18:30
Basztowa LOT;6:20:59
Dworzec Główny;6:23:40
Lubicz;6:25:41
;
06:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;6:10:1
Stradom;6:11:12
Wawel;6:13:27
Świętej Gertrudy;6:15:5
Plac Wszystkich Świętych;6:16:32
Filharmonia;6:17:44
Teatr Bagatela;6:20:9
Batorego;6:22:38
Plac Inwalidów;6:23:50
;
06:08 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;6:8:1
Rondo Mogilskie;6:10:40
Lubicz;6:14:23
Dworzec Główny;6:16:28
Basztowa LOT;6:18:44
Teatr Bagatela;6:21:7
Batorego;6:23:33
Plac Inwalidów;6:24:44
Urzędnicza;6:26:38
;
06:11 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:11:1
Plac Inwalidów;6:12:58
Batorego;6:14:16
Teatr Bagatela;6:15:51
Filharmonia;6:18:56
Plac Wszystkich Świętych;6:20:36
Świętej Gertrudy;6:22:9
Wawel;6:23:50
Plac Wolnica;6:27:10
;
06:05 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;6:5:1
Miodowa;6:6:4
Starowiślna;6:9:23
Hala Targowa;6:10:25
Rondo Grzegórzeckie;6:16:54
Rondo Mogilskie;6:20:6
Dworzec Główny Tunel;6:22:56
Politechnika;6:24:26
Dworzec Towarowy;6:27:12
;
06:08 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;6:8:1
Stradom;6:9:14
Wawel;6:11:44
Poczta Główna;6:14:10
Dworzec Główny;6:17:18
Lubicz;6:19:58
Rondo Mogilskie;6:25:7
Cystersów;6:27:36
;
06:15 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;6:15:1
Orzeszkowej;6:16:56
Stradom;6:17:57
Starowiślna;6:21:45
Hala Targowa;6:22:49
Rondo Grzegórzeckie;6:26:20
Teatr Variete;6:27:8
;
06:13 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;6:13:1
Miodowa;6:14:6
Starowiślna;6:16:26
Poczta Główna;6:17:26
Dworzec Główny;6:19:53
Basztowa LOT;6:21:56
Teatr Bagatela;6:24:24
Batorego;6:26:27
Plac Inwalidów;6:27:38
;
06:19 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;6:19:20
Rondo Mogilskie;6:24:53
Rondo Grzegórzeckie;6:30:9
;
06:12 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;6:12:1
Orzeszkowej;6:13:57
Stradom;6:15:0
Starowiślna;6:18:31
Poczta Główna;6:19:31
Dworzec Główny;6:22:4
Lubicz;6:24:42
Rondo Mogilskie;6:27:45
Cystersów;6:30:12
;
06:14 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;6:14:1
Stradom;6:15:13
Wawel;6:17:45
Świętej Gertrudy;6:19:22
Plac Wszystkich Świętych;6:21:0
Filharmonia;6:22:14
Teatr Bagatela;6:24:55
Batorego;6:27:21
Plac Inwalidów;6:28:29
;
06:15 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:15:1
Plac Inwalidów;6:16:57
Batorego;6:18:14
Teatr Bagatela;6:20:1
Filharmonia;6:22:48
Plac Wszystkich Świętych;6:24:32
Świętej Gertrudy;6:26:9
Wawel;6:27:49
;
06:23 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;6:23:8
Politechnika;6:25:56
Dworzec Główny Zachód;6:27:14
Dworzec Główny;6:28:21
Poczta Główna;6:31:1
;
06:10 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;6:10:1
Orzeszkowej;6:11:54
Stradom;6:12:59
Wawel;6:14:49
Świętej Gertrudy;6:16:30
Plac Wszystkich Świętych;6:18:44
Filharmonia;6:19:58
Teatr Bagatela;6:22:32
Basztowa LOT;6:25:28
Pędzichów;6:27:18
Nowy Kleparz;6:28:59
Dworzec Towarowy;6:31:2
;
06:23 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;6:23:1
Dworzec Główny;6:25:33
Dworzec Główny Zachód;6:28:16
Politechnika;6:29:38
Dworzec Towarowy;6:32:9
;
06:12 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;6:12:5
Rondo Mogilskie;6:14:24
Lubicz;6:16:44
Dworzec Główny;6:18:47
Poczta Główna;6:21:22
Starowiślna;6:23:27
Stradom;6:28:19
Orzeszkowej;6:30:48
Centrum Kongresowe ICE;6:32:48
;
06:13 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;6:13:1
Politechnika;6:16:37
Dworzec Główny Tunel;6:18:8
Rondo Mogilskie;6:23:54
Rondo Grzegórzeckie;6:27:44
Hala Targowa;6:29:56
Starowiślna;6:30:58
Miodowa;6:33:35
;
06:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;6:18:1
Stradom;6:19:13
Wawel;6:22:2
Świętej Gertrudy;6:23:40
Plac Wszystkich Świętych;6:26:5
Filharmonia;6:27:20
Teatr Bagatela;6:29:41
Batorego;6:31:48
Plac Inwalidów;6:32:56
Urzędnicza;6:34:52
;
06:16 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;6:16:1
Plac Inwalidów;6:17:55
Batorego;6:19:13
Teatr Bagatela;6:21:13
Basztowa LOT;6:24:22
Dworzec Główny;6:26:18
Lubicz;6:29:28
Rondo Mogilskie;6:32:34
Cystersów;6:35:4
;
06:15 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;6:15:1
Teatr Variete;6:16:27
Rondo Grzegórzeckie;6:18:15
Rondo Mogilskie;6:20:55
Lubicz;6:23:21
Dworzec Główny;6:25:26
Basztowa LOT;6:27:33
Teatr Bagatela;6:29:56
Batorego;6:32:32
Plac Inwalidów;6:33:41
;
06:18 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:18:1
Plac Inwalidów;6:19:55
Batorego;6:21:12
Teatr Bagatela;6:25:16
Filharmonia;6:28:34
Plac Wszystkich Świętych;6:30:14
Świętej Gertrudy;6:31:53
Wawel;6:33:30
;
06:20 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;6:20:1
Miodowa;6:21:5
Starowiślna;6:24:8
Hala Targowa;6:25:12
Rondo Grzegórzeckie;6:30:43
Rondo Mogilskie;6:34:7
Cystersów;6:36:39
;
06:18 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;6:18:1
Filharmonia;6:20:3
Plac Wszystkich Świętych;6:22:23
Poczta Główna;6:24:17
Starowiślna;6:28:9
Hala Targowa;6:29:10
Rondo Grzegórzeckie;6:36:31
Teatr Variete;6:37:18
;
06:22 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;6:22:1
Rondo Mogilskie;6:28:36
Rondo Grzegórzeckie;6:32:30
Hala Targowa;6:34:44
Starowiślna;6:35:48
Miodowa;6:38:59
;
06:21 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;6:21:1
Stradom;6:22:14
Wawel;6:24:32
Świętej Gertrudy;6:27:26
Plac Wszystkich Świętych;6:28:51
Filharmonia;6:30:23
Teatr Bagatela;6:33:52
Batorego;6:35:58
Plac Inwalidów;6:37:7
;
06:25 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;6:25:1
Teatr Variete;6:26:25
Rondo Grzegórzeckie;6:28:48
Hala Targowa;6:31:7
Starowiślna;6:32:39
Stradom;6:35:47
Orzeszkowej;6:37:21
Centrum Kongresowe ICE;6:39:23
;
06:31 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;6:31:3
Politechnika;6:33:46
Dworzec Główny Zachód;6:35:2
Dworzec Główny;6:36:23
;
06:18 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;6:18:1
Orzeszkowej;6:19:54
Stradom;6:21:26
Wawel;6:23:28
Świętej Gertrudy;6:26:3
Plac Wszystkich Świętych;6:27:30
Filharmonia;6:28:43
Teatr Bagatela;6:31:44
Basztowa LOT;6:34:11
Pędzichów;6:36:1
Nowy Kleparz;6:37:42
;
06:27 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;6:27:1
Dworzec Główny;6:29:9
Basztowa LOT;6:32:10
Teatr Bagatela;6:34:33
Filharmonia;6:37:37
Jubilat;6:40:7
;
06:19 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:19:1
Nowy Kleparz;6:20:10
Pędzichów;6:21:53
Basztowa LOT;6:23:23
Teatr Bagatela;6:25:53
Filharmonia;6:29:51
Plac Wszystkich Świętych;6:31:36
Świętej Gertrudy;6:33:18
Wawel;6:34:56
Orzeszkowej;6:38:28
Centrum Kongresowe ICE;6:40:28
;
06:17 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;6:17:1
Plac Inwalidów;6:18:54
Batorego;6:20:11
Teatr Bagatela;6:23:22
Basztowa LOT;6:26:45
Dworzec Główny;6:28:44
Lubicz;6:31:29
Rondo Mogilskie;6:35:1
Rondo Grzegórzeckie;6:38:38
Teatr Variete;6:39:25
Francesco Nullo;6:40:31
;
06:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;6:25:1
Stradom;6:26:13
Wawel;6:28:26
Świętej Gertrudy;6:30:21
Plac Wszystkich Świętych;6:31:49
Filharmonia;6:33:2
Teatr Bagatela;6:35:27
Batorego;6:38:10
Plac Inwalidów;6:39:20
;
06:23 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:23:1
Plac Inwalidów;6:24:59
Batorego;6:26:17
Teatr Bagatela;6:28:53
Filharmonia;6:31:26
Plac Wszystkich Świętych;6:33:41
Świętej Gertrudy;6:37:5
Wawel;6:38:42
Stradom;6:39:50
;
06:21 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;6:21:1
Orzeszkowej;6:22:56
Stradom;6:24:0
Starowiślna;6:27:44
Poczta Główna;6:28:43
Dworzec Główny;6:31:21
Lubicz;6:33:19
Rondo Mogilskie;6:40:24
Cystersów;6:42:53
;
06:30 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;6:30:1
Orzeszkowej;6:31:57
Stradom;6:33:0
Starowiślna;6:36:28
Hala Targowa;6:37:29
Rondo Grzegórzeckie;6:40:56
Teatr Variete;6:41:44
;
06:26 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:26:1
Plac Inwalidów;6:27:56
Batorego;6:29:13
Teatr Bagatela;6:30:51
Filharmonia;6:33:41
Plac Wszystkich Świętych;6:35:21
Świętej Gertrudy;6:38:21
Wawel;6:40:2
Stradom;6:41:9
Plac Wolnica;6:43:46
;
06:19 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;6:19:53
Rondo Mogilskie;6:25:14
Lubicz;6:27:39
Dworzec Główny;6:31:16
Poczta Główna;6:34:11
Stradom;6:40:6
Orzeszkowej;6:42:21
Centrum Kongresowe ICE;6:44:20
;
06:20 - 10 (Pleszów - Kurdwanów);
Cystersów;6:20:26
Rondo Mogilskie;6:26:27
Lubicz;6:29:2
Dworzec Główny;6:32:57
Poczta Główna;6:36:58
Świętej Gertrudy;6:40:8
Wawel;6:41:46
Plac Wolnica;6:44:38
;
06:32 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;6:32:1
Filharmonia;6:34:13
Teatr Bagatela;6:37:18
Basztowa LOT;6:40:37
Dworzec Główny;6:42:39
Lubicz;6:44:43
;
06:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;6:28:1
Miodowa;6:29:5
Starowiślna;6:31:26
Poczta Główna;6:32:26
Dworzec Główny;6:34:53
Basztowa LOT;6:36:59
Teatr Bagatela;6:39:40
Batorego;6:41:50
Plac Inwalidów;6:42:58
Urzędnicza;6:44:56
;
06:23 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;6:23:1
Stradom;6:24:14
Wawel;6:26:47
Poczta Główna;6:29:53
Dworzec Główny;6:32:34
Lubicz;6:35:9
Rondo Mogilskie;6:42:40
;
06:38 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;6:38:1
Politechnika;6:40:50
Dworzec Główny Zachód;6:42:7
Dworzec Główny;6:43:14
;
06:23 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;6:23:44
Rondo Mogilskie;6:28:56
Lubicz;6:31:23
Dworzec Główny;6:34:53
Basztowa LOT;6:38:7
Teatr Bagatela;6:41:13
Batorego;6:43:19
Plac Inwalidów;6:44:27
Urzędnicza;6:46:24
;
06:29 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;6:29:1
Stradom;6:30:14
Wawel;6:32:27
Świętej Gertrudy;6:34:4
Plac Wszystkich Świętych;6:36:29
Filharmonia;6:37:42
Teatr Bagatela;6:41:17
Batorego;6:44:3
Plac Inwalidów;6:45:14
;
06:30 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:30:1
Plac Inwalidów;6:31:58
Batorego;6:33:16
Teatr Bagatela;6:34:50
Filharmonia;6:39:8
Plac Wszystkich Świętych;6:40:56
Świętej Gertrudy;6:42:28
Wawel;6:44:6
Stradom;6:45:15
;
06:34 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;6:34:1
Rondo Mogilskie;6:42:9
Rondo Grzegórzeckie;6:47:23
;
06:25 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;6:25:1
Orzeszkowej;6:26:54
Stradom;6:27:58
Wawel;6:29:47
Świętej Gertrudy;6:31:45
Plac Wszystkich Świętych;6:33:10
Filharmonia;6:34:22
Teatr Bagatela;6:38:44
Basztowa LOT;6:41:42
Pędzichów;6:43:32
Nowy Kleparz;6:45:15
;
06:42 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;6:42:1
Rondo Mogilskie;6:45:19
;
06:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;6:20:34
Miodowa;6:21:50
Starowiślna;6:25:37
Hala Targowa;6:26:40
Rondo Grzegórzeckie;6:33:37
Rondo Mogilskie;6:41:25
Dworzec Główny Tunel;6:44:13
Politechnika;6:45:43
Dworzec Towarowy;6:48:28
